Industry,Gender,Education,Avg_Salary
Unknown,"Prefer not to answer","College degree",63.00
Publishing,Man,"Master's degree",80.00
"Graduate Student",Man,"Master's degree",2350.00
"Outsourcing Services ",Woman,"High School",2400.00
"Obligatory Military service",Man,"College degree",2975.00
Accessibility,Non-binary,"Master's degree",4000.00
"Health care",Non-binary,"High School",8000.00
"Undergraduate student",Man,"High School",10000.00
Retired,Woman,"College degree",13000.00
Restaurant,Man,"College degree",15080.00
AmeriCorps,Woman,"Master's degree",15400.00
Work-Study,Non-binary,"College degree",16000.00
Charity,Woman,"College degree",17400.00
"Legal services",Woman,"College degree",18500.00
Student,Man,"College degree",18720.00
PhD,Man,"Master's degree",19000.00
"Auction House",Woman,"Master's degree",20000.00
Theatre,Woman,"College degree",20000.00
"Science  ",Woman,"College degree",20152.00
"Library ",Woman,"High School",20200.00
"Food and Drink ",Woman,"College degree",20287.00
Tourism,Woman,"Master's degree",20800.00
Food,"Prefer not to answer","College degree",21000.00
Translation,Woman,"College degree",21018.00
Food,Non-binary,"College degree",21840.00
Probiotics,Man,"Professional degree (MD, JD, etc)",22000.00
"Science  ",Woman,"Master's degree",22000.00
"Hospitality & Events",Other,"College degree",22775.00
Translation,Other,"Master's degree",22800.00
Communications,Woman,"Master's degree",23010.00
Entertainment,Non-binary,"High School",23100.00
"Graduate Student",Woman,"Master's degree",24000.00
Entertainment,Man,"High School",24960.00
"Pet care",Other,"College degree",25000.00
"Specialist policy consulting/research",Woman,"Master's degree",25000.00
University,Woman,"College degree",25217.00
"Call Centre",Woman,"College degree",25480.00
"Hospitality & Events",Non-binary,"High School",25600.00
"Commercial Fisherman",Man,"College degree",26000.00
Retail,Non-binary,"High School",26010.00
"Social Work",Non-binary,"College degree",26116.00
Library,Non-binary,"College degree",26657.33
"Child Care",Woman,"College degree",27431.11
Parking,Woman,"College degree",27460.00
"Leisure, Sport & Tourism",Non-binary,"College degree",27500.00
"Brain research ",Woman,"College degree",28000.00
"Art & Design",Other,"High School",28000.00
"Child Care",Non-binary,"College degree",28100.00
Aviation,Man,"High School",28700.00
Biology,Man,"College degree",29000.00
"Fast Food",Woman,"College degree",29120.00
Janitorial,Non-binary,"High School",29120.00
Restaurant,Man,"High School",29120.00
Retail,"Prefer not to answer","High School",29120.00
"Utilities & Telecommunications",Non-binary,"High School",29661.00
Plumbing,Man,"High School",30000.00
Plumbing,Man,"College degree",30000.00
"Delivery and installation for commercial machinery",Man,"College degree",30000.00
Journalism,Woman,"Master's degree",30000.00
"Library ",Other,"College degree",30000.00
"Mental health",Woman,PhD,30000.00
"Data Entry",Woman,"College degree",31000.00
"Fast food",Other,"High School",31200.00
"Leisure, Sport & Tourism",Woman,"High School",31200.00
"Real Estate",Non-binary,"College degree",31200.00
Automotive,Non-binary,"Master's degree",31200.00
"Public Library",Non-binary,"College degree",31577.00
Ministry,Woman,"College degree",32000.00
"Marketing, Advertising & PR",Non-binary,"Professional degree (MD, JD, etc)",32000.00
"Law Enforcement & Security",Non-binary,"College degree",32162.50
"Support  professional",Man,"College degree",32280.00
Sales,Other,"College degree",32300.00
"FMCG development ",Man,"Master's degree",32524.00
"Human Resources",Woman,"College degree",32675.75
"Hospitality & Events",Non-binary,"College degree",32686.25
"Interior landscaping ",Non-binary,"College degree",33000.00
"Defense Contractor",Woman,"High School",33000.00
"Government and Public Administration",Non-binary,"High School",33000.00
Wine,Woman,"Master's degree",33000.00
Caregiver,Woman,"College degree",33280.00
"Art & Design",Man,"Professional degree (MD, JD, etc)",33600.00
Testing,Man,"College degree",34000.00
Veterinary,Non-binary,"College degree",34000.00
Veterinary,Woman,"High School",34300.00
Retail,Non-binary,"College degree",34321.65
Retail,"Prefer not to answer","College degree",34400.00
Retail,Woman,"Professional degree (MD, JD, etc)",34624.60
"Awards and engraving",Woman,"High School",35000.00
Sell,Woman,"College degree",35000.00
Translation,Non-binary,"College degree",35000.00
"Public ",Woman,"High School",35360.00
"Restaurant/Food Service",Woman,"College degree",35360.00
"Tailoring Service",Woman,"College degree",35360.00
"Beauty Manufacturing & Education ",Woman,"College degree",35360.00
Journalism,Woman,"College degree",35600.00
Heritage,Woman,"Master's degree",35893.00
Translation,Man,"Master's degree",36000.00
"University research",Woman,"College degree",36000.00
Conservation,Man,"Master's degree",36000.00
Recruitment,Man,PhD,36000.00
"Cultural Heritage",Woman,"Master's degree",36375.00
"Child Care",Man,"College degree",36672.00
Biology,Woman,PhD,36682.00
"Waste Management",Non-binary,"College degree",37000.00
Publishing,Non-binary,PhD,37000.00
"Outdoor industry",Woman,"College degree",37000.00
Zoo,Man,"College degree",37419.00
Horticulture,Woman,"College degree",37440.00
"College Student",Woman,"College degree",37500.00
"Art & Design",Woman,PhD,37500.00
"Property or Construction",Non-binary,"High School",37500.00
Sales,Non-binary,"College degree",37542.86
Costruction,Woman,"College degree",38000.00
"Health care","Prefer not to answer","High School",38000.00
"Hospitality & Events",Woman,"High School",38096.00
"Fast food",Non-binary,"College degree",38188.00
Academic,Woman,PhD,38371.43
Entertainment,Non-binary,"Master's degree",38400.00
Museum,Woman,"College degree",38553.33
"Real Estate",Non-binary,"High School",38563.00
"Social Work",Woman,"High School",38600.00
"Office Administration",Woman,"College degree",38700.00
"Quality Assurance",Man,"College degree",38700.00
Retail,Man,"High School",38862.22
"Food Distribution",Woman,"College degree",38980.00
"STEM research",Woman,"College degree",39000.00
Facilities,Woman,"College degree",39000.00
"Landed Estate",Woman,"Master's degree",39000.00
Warehousing,Woman,"College degree",39485.00
Retail,Woman,PhD,39520.00
Retail,Non-binary,"Master's degree",39586.67
"Online Education",Woman,"Master's degree",39800.00
"Interior Design & Architecture",Non-binary,"College degree",40000.00
Chaplain,Woman,"Professional degree (MD, JD, etc)",40000.00
"Early Education","Prefer not to answer","College degree",40000.00
"Intern ",Woman,"College degree",40000.00
Library,Man,"College degree",40000.00
Beverage,Woman,"College degree",40000.00
Biology,Non-binary,"Master's degree",40000.00
"Public Library",Man,"Professional degree (MD, JD, etc)",40000.00
"Commercial Furniture",Woman,"High School",40000.00
"Customer Service",Non-binary,"College degree",40000.00
Archives,Woman,PhD,40322.00
Academic,Non-binary,PhD,40322.00
"Forklift Operator Warehouse",Man,"High School",40560.00
"Accounting, Banking & Finance",Non-binary,"Master's degree",40750.00
"Leisure, Sport & Tourism",Man,"College degree",40860.89
"Agriculture or Forestry",Non-binary,"Master's degree",41000.00
Actuarial,Woman,"College degree",41000.00
"Small business/service company",Woman,"High School",41000.00
"Accounting, Banking & Finance",Non-binary,"High School",41250.00
"Performing Arts",Woman,"College degree",41500.00
"Virtual reality",Woman,"Master's degree",41600.00
"Pet care",Woman,"Master's degree",41600.00
"Sailing Instructor",Woman,"High School",41600.00
"Customer Service",Man,"College degree",41600.00
"Clinical research",Woman,"High School",41600.00
"Chemical Manufacturing",Non-binary,"College degree",41766.00
Museum,Man,"Master's degree",41792.33
Warehousing,Man,"College degree",41833.33
"Religious institute",Woman,"College degree",41866.67
"Disability services ",Woman,"High School",42000.00
"Leisure, Sport & Tourism",Woman,PhD,42000.00
Ministry,Man,"College degree",42000.00
"Clean energy",Woman,"College degree",42000.00
Food,Man,"College degree",42220.00
Library,Woman,"College degree",42284.84
"Commercial Landscaping ",Woman,"Master's degree",42840.00
Medical,Non-binary,"College degree",43000.00
Immigration,Woman,"College degree",43000.00
"University research",Woman,"Master's degree",43000.00
"Social Work",Man,"Professional degree (MD, JD, etc)",43000.00
Restaurant,Non-binary,"College degree",43100.00
Analytics,Woman,"College degree",43184.00
"Media & Digital","Prefer not to answer","College degree",43333.33
"Tabletop Gaming",Man,"College degree",43425.00
"Staffing agency",Man,"College degree",43500.00
