Job_Title,Total_monetary_compensation
"Personal Assistant/Office Manager",99497
"Business Development Officer",63497
"Instructional Designer",2953488
"Accounting Specialist IV",82053
"Forensic Scientist",344137
Associate,7581683
Journalist,466982
"Human Factors Engineer",259845
"Risk and Compliance Consultant",86600
"Site Reliability Engineer",1972585
"Support Services Officer Level 1",67427
"Project Analyst ",70500
"Configuration Management Specialist",211497
"Public Affairs Specialist",88673
"Compliance Manager and Facility Security Officer",138300
"Subject Matter Expert",81497
Accountant,3625428
"Program Manager",19189998
"Project Officer",506585
"Senior Event Officer",102497
"HR and Operations Manager",218417
"Lab Technician",283025
"HR Manager",11801603
"Technical writer/editor",247994
"Director of Human Resources",5306526
"Project Manager",22771036
"Chief Operating Officer",922085
"Country Support Manager",96080
"Data Scientist",8966347
"Special Education Teacher",1414693
"Customer Support Representative",291850
"Maintenance Technician ",162940
"VP, HR",168000
"Risk Compliance Officer",80497
"Process Engineer",3383430
"ABA Instructional Tutor",44497
"Senior Systems Analyst",328741
"Senior Project Officer",266131
"Software Team Lead",218994
"Assistant Winemaker",141768
"Content Producer",473094
"Manager Records Administration",103497
"Technical Officer",68497
"Sr. Specialist",138000
"Technical Project Manager",1235432
"Laser Office Manager",100000
"Instructional Developer",74939
"Pharmacist Manager",256320
"Architect, Quality Engineering",142500
"Administrative Assistant",7550290
Analyst,8526951
"Client Services Officer",56000
"Communication Officer",103497
"Department Coordinator",68497
FSO,113497
"Events and Marketing Manager",65497
"Senior Business Analyst",2187944
"Communications Specialist",2837336
Paraprofessional,184988
"Senior Contract Administrator",110000
"Senior IT Training Specialist",123497
"Mechanical Engineer",3195175
"Senior Editor",3856993
"Senior Engineer I",365994
"Departmental Manager",134000
"Director ",1902476
"Architectural Project Manager",169497
Consultant,7529240
"Career Advisor",321985
"Electrical Engineer",1462658
"Lead Analyst, Supply Chain Information Systems",124320
"Lead Analytical Scientist",117000
"Library Services Coordinator",146994
"Senior Reporting Analyst",79497
"SOC Analyst",246994
"Team Lead - Technical Writing",86497
"Training specialist ",191994
"Chief Fiscal Officer",13550
"Tax Examiner ",100497
"Facility Security Officer",113497
"Director of Administration",315819
"Account Executive",4245470
"Managing Director",1617502
"Assistant ",159873
"Multimedia Designer",137997
"Junior Data Analyst ",50000
"Inpatient Unit Social Worker",53497
"Manufacturing Engineer",917679
"Scientist I",799147
"Senior hair stylist",76800
"Director, Brand Operations",120000
"Staff Engineer ",149000
Educator,331234
"Tech Project Coordinator ",42300
"Assistant Librarian",677648
"Associate Capital Program Analyst",94197
"Associate Director, Career Development ",62247
"Associate In-House Counsel",122000
Author,250994
Barrister,463527
Economist,1713341
"Campus planning project manager",85497
"Clinical Operations Associate Director",135760
Director,18924024
"Director of Student Life",76000
"Regional Director",439330
"Circulation Supervisor",146475
"Executive Director",6618534
"GIS Specialist",365645
"Junior Associate",70000
"HR Director",3737249
"HR Generalist",4927775
Lecturer,1823863
"Marketing Director",4111537
Lobbyist,224494
"Program Coordinator",3619694
"Hall Director",56840
Registrer,1041252
"Director of Policy",518491
"Senior Customer Success Manager",949939
"Senior Education Specialist",62500
"Sr. Graphic Designer",63900
"Teachers Aide",48497
"VP of Creative Services/Senior Account Director",150000
"Communications Lead",167797
"Assistant Attorney General",404507
"Associate Counsel",440903
"Associate Director of Public Health Program",148497
"Health Program Administrator 1",88497
"Intelligence Analyst 1 - Information Systems",103097
"Internal Audit Director ",105497
"Policy Analyst",2537615
"Program Research Specialist",105497
"Research Administrator",602379
"Research Specialist",492988
"Residential Life Faculty",56497
"Safety and Health Inspector",66497
"Electronic Engineer",100197
"Senior Administrative Analyst",71860
"Research Scientist II",154002
"Associate I ",76000
"Administrative Officer",406723
"HR and Accounts Receivable",61600
"Operations Manager",7982149
"Data Scientist ",855994
"Contract Manager",986941
"Senior Court Analyst, Records Management",88497
"Immigration Attorney",69497
"Tax Accountant",421911
"Marketing Operations",75897
"Fraud Analyst",229097
"Health Program Administrator ",108497
"Library Director (Public Library)",65000
"Graphic Design",4233561
"Medical Office Coordinator ",48000
"Head of Digital",153497
"Finance Director ",278000
"Aerospace Engineer",1129352
"Assistant city attorney",97897
"BI Developer",260494
"Learning and Development Adviser",74497
"Career Development Specialist",51497
"Claims Generalist Intermediate  ",70500
"Corrections Technician",43280
"Database Administrator",983684
"Department Administrator",346544
"Director of Quality",233497
"Director of Risk Management",306000
"Manager of Developer Relations",143497
"Family Therapist",70497
"Lead Consultant ",203497
"Mechanical Engineer II",397679
"Project Manager Senior ",206247
"Activities Coordinator ",34800
"Product Manager",16636428
"Program Director",3023329
"R&D Software Engineer",128697
"School Counselor",385941
"Senior Computer Scientist",133000
"Senior Research Analyst",1323173
"Biomedical Scientist",140797
"Senior UX Designer",1777979
"Software Testing Engineer ",69497
"Sr. Operations Manager",345491
"Staff accountant ",403991
Teacher,11858462
"Business Support Specialist",68497
"Solutions Architect",1196488
"Division Chief",143497
"Accounting  Tech",49355
"Medical Education Coordinator",65497
"Outreach Director",47497
"Manager of Donor Management",113000
Controller,4970185
"Physical Therapist Assistant",139314
"Healthcare Facilities Planner",113497
"sponsored projects officer",75997
"Associate Professor",4863838
"Frontend Web Developer",511485
"Assistant Professor (Tenure-Track)",234794
"Assistant United States Attorney",122000
"Certified Massage Therapist",173497
"Client Service Agent",53495
"Global Communications Manager",101500
"Pharmacy Manager",451244
"Program accountant ",68497
"Lead Compensation Analyst",118500
"Marketing Manager",8377685
"Research Coordinator",1194791
"Product Team Lead",131000
"Platform Executive",58497
"Nurse Manager",381488
Attorney,10555972
"Validation Analyst",57000
"Audit Manager ",115497
"Parent Liaison",50897
"Account Manager",5880807
"Administrative Coordinator",1380631
"Certification Manager",71497
"Content Manager",1619744
"Creative Production Manager and Graphic Designer",68000
"Business Informaticist",81497
"Database Manager",299488
"DevSecOps Engineer",105497
"Direct Response Copywriter",128497
"Digital Designer",612685
"Director - Data Operations",114000
"Director of Meetings and Membership",168000
"Director of Project Management",124497
"Director, Public Policy and Advocacy",102497
"Embedded Software Engineer",336994
"Finance Director",1269801
"Graphic Designer and Production Manager",63600
"Head of School",362991
"Health Literacy and Plain Language Content Writer",60740
"Audiologist ",89500
"Marketing Associate",447758
"Membership Director",536988
"Membership Manager",193594
"New Business",43947
Principal,421491
"COMT ",68500
"Regional Finance Director",191000
"Research Associate",2950170
"Research Director",964232
"Senior Administrator, International Programs",78000
Scientist,3501531
"Senior Digital and Marketing Specialist",95000
"Senior Director",2188964
"Software and Database Engineer",125497
"Systems Engineer",3170872
"Career Manager ",128000
"Digital Librarian",173994
"Editor-Technical Writer",133497
"Graduate Research Assistant",388057
"Senior Policy Analyst",1723115
"Management Analyst",709085
Professor,3940454
"Social science research analyst",112603
"Client Services Director",273000
"Contracts Manager",1013482
"Senior Server Administrator",104497
"Communication specialist ",113497
"Customer Success Manager",4188698
"Major Gift Officer",482991
"Librarian ",753163
"Senior Instructional Designer",462197
"Accounting Assistant ",200114
"Assistant Property Manager ",112880
"Legal Nurse Consultant",107000
"RPA Developer",122697
"Senior Director ",620491
"Social Media Manager",1884527
"Vocational evaluator ",124837
"Contract Specialist ",359166
"Physical Therapist ",192994
"Graduate Engineer",55080
Payroll,216994
Localization,73000
"Data Architect",222497
"Senior Actuarial Development Manager",178629
"Senior Design Engineer - Control Systems",146897
"Director, Analytics",466500
"Pediatric Nurse Practitioner ",102000
"Campus Career Center Manager",66295
"IT Project Manager",1589927
"Office Assistant",348057
"Analyst ",785988
"Customer Service",311071
"Environmental Health Safety Manager",91500
"Grants and Evaluations Manager",60497
"Internal Sales Consultant",79000
"Manager People Analytics",155400
"Senior Financial Operations Analyst",94600
"Senior Supply Chain Manager",171000
"Talent Acquisition Manager",181497
Audiologist,501099
"Service Advisor",128800
"Research and Development Associate ",47997
"Quality Data Analyst",105600
"Senior Consultant",6186998
"Director of Email Marketing and Sales Operations",83497
"Talent Acquisition Specialist",214971
"Technical Director",621691
Veterinarian,1222325
"Youth Services Librarian",846166
"Sr. Manager Business Operations",141600
"Security Engineer II",177800
"Assistant Project Manager-site acquisition ",73497
"Privileging and Credentialing Coordinator",54997
"Patient Services",111754
"Manager Strategy",132000
"Scientist II",812729
"Senior Developer",2395667
"Licensed Sales Professional",31500
"Content Creator",110497
"Secondary Teacher",288570
"Counsellor ",193994
"Senior Project Engineer ",115000
"SPED teacher",54500
"Electric Trading Analyst",109269
"Electronic Resources Librarian",131994
"Associate Scientist",572391
"Registered Architect and Project Manager",74000
"Senior Marketing Campaign Manager",101200
"Assistant Bookkeeper",36150
"Program Assistant",955715
"Postdoctoral Associate",423982
"Secretary 1",130407
"Associate Director of Operations",273603
"Float Pharmacist",147000
"HR Assistant",683679
"Discovery and Resource Management Systems Coordinator (Librarian III) ",86497
"Graduate Teaching Assistant",171491
"Library Fellow",48497
"Office Manager",6924129
"Research Fellow (Lab/Field Technician)",55497
"Graphic Designer/Desktop Publisher",45497
"Student Engagement Officer",88497
"Software developer",10921849
"Nurse Practitioner",1732637
"Tech Consultant",164442
"Collection Management Librarian",102083
"ICT Project Manager",125000
"Bakery Assistant",45497
"Program Development Officer",98497
"Administrative and Operations Manager ",135000
"School Mental Health Therapist",86497
"Employee Communications Specialist",118770
"Marketing coordinator",1901800
"Assessment Officer",85896
"Senior Manager",7366417
"Executive Officer",624174
"Senior Investigator",326497
"Assistant Director",4398637
"Assistant Director Communication",123497
"Senior Cost Recovery Officer",179897
"Team Leader",1286576
"Public Servant",254994
Librarian,11987628
