City,Industry,Average_Salary
Aachen,Computing/Tech,61000.0000
Abbotsford,"Education (Higher Education)",80500.0000
Abbotsford,Law,95000.0000
Aberdeen,"Accounting, Banking & Finance",68556.0000
Aberdeen,Computing/Tech,40300.0000
Aberdeen,"Education (Primary/Secondary)",23000.0000
Aberdeen,"Engineering or Manufacturing",53000.0000
Aberdeen,"Government and Public Administration",72040.6667
Aberdeen,"Health care",34000.0000
Aberdeen,Nonprofits,23587.5000
Aberdeen,"Oil and Gas",51000.0000
Aberdeen,Retail,31200.0000
Aberdeen,Sales,40000.0000
"Aberdeen ","Engineering or Manufacturing",61000.0000
"Aberdeen ","Utilities & Telecommunications",27600.0000
Abidjan,Energy,67500.0000
Abilene,"Health care",50000.0000
Abilene,Manufacturing,95000.0000
"Abilene ","Property or Construction",41600.0000
Abington,"Health care",56000.0000
"Abington ","Health care",43000.0000
Accra,Computing/Tech,500.0000
Accra,Nonprofits,82583.0000
Accra,"Transport or Logistics",132000.0000
Acton,"Education (Primary/Secondary)",82000.0000
Adairsville,"Engineering or Manufacturing",45760.0000
Addison,Computing/Tech,130625.0000
Addison,"Engineering or Manufacturing",86000.0000
Adelaide,"Accounting, Banking & Finance",67800.0000
Adelaide,"Agriculture or Forestry",50768.0000
Adelaide,Computing/Tech,133500.0000
Adelaide,"Education (Higher Education)",101000.0000
Adelaide,"Education (Primary/Secondary)",82546.5000
Adelaide,"Engineering or Manufacturing",103000.0000
Adelaide,"Government and Public Administration",89020.0000
Adelaide,"Health care",71000.0000
Adelaide,"Hospitality & Events",89000.0000
Adelaide,Law,85000.0000
Adelaide,"Leisure, Sport & Tourism",50000.0000
Adelaide,"Media & Digital",98000.0000
Adelaide,Nonprofits,67500.0000
Adelaide,Retail,72000.0000
Adelaide,"Science ",65000.0000
"Adelaide ",Nonprofits,68816.0000
"Affluent Chicago suburb",Computing/Tech,140000.0000
Africa,Nonprofits,90000.0000
Agawam,"Education (Primary/Secondary)",20000.0000
Agawam,Nonprofits,95000.0000
Aguadilla,Sales,16000.0000
