Overall_Experience,Job_Title,Total_compensation
"1 year or less","Academic Advisor ",59497
"1 year or less","Account Coordinator",42000
"1 year or less","Account Manager",90000
"1 year or less",Accountant,106994
"1 year or less","Accounting Associate",120000
"1 year or less","Accounting Intern",30160
"1 year or less","Actuarial analyst",123497
"1 year or less","Administration and Logistics Support Assistant",29497
"1 year or less","Administrative ",142894
"1 year or less","Administrative Assistant ",53497
"1 year or less","Administrative assistant/ school facilities consultant ",57177
"1 year or less","Administrative Coordinator",57497
"1 year or less","Adminstration Specialist",15138
"1 year or less","Admissions Advisor",52500
"1 year or less","Ads operation specialist",78497
"1 year or less","Advisor, Disease and Vector Control",83497
"1 year or less","Advisory Analyst ",44000
"1 year or less",Analyst,942694
"1 year or less","Application Analyst",73497
"1 year or less","Application Development Analyst",73625
"1 year or less","Applied Data Scientist",88497
"1 year or less","Apprentice Business Administrator ",18500
"1 year or less","Apprentice Early Years Assistant",33257
"1 year or less","Architectural Intern",55097
"1 year or less","Area Sales Manager",124994
"1 year or less","Articling Student",65500
"1 year or less","Assistance digital editor and producer",51497
"1 year or less","Assistant Account Executive",58500
"1 year or less","Assistant Creative Director",63497
"1 year or less","Assistant Professor",149697
"1 year or less","Assistant Project Engineer",61850
"1 year or less","Assistant Project Manager",139250
"1 year or less","Assistant Scientist",53800
"1 year or less","Assistant Store Manager",34920
"1 year or less",Associate,612491
"1 year or less","Associate Account Representative",141752
"1 year or less","Associate Attorney",608988
"1 year or less","Associate Ecologist",59497
"1 year or less","Associate Engineer, Packaging ",87000
"1 year or less","Associate Financial Advisor ",44000
"1 year or less","Associate General Counsel",113497
"1 year or less","Associate I ",76000
"1 year or less","Associate Mechanical Engineer",82497
"1 year or less","Associate Product Manager",71000
"1 year or less","Associate Research Scientist",112500
"1 year or less","Associate Scientist",61497
"1 year or less","Associate Scientist III",89000
"1 year or less","Associate Software Developer",111000
"1 year or less","Associate Software Engineer",107000
"1 year or less","Assurance Staff",73497
"1 year or less","Attorney Advisor",73397
"1 year or less",Audiologist,77000
"1 year or less","Audit Associate ",88497
"1 year or less","Audit Trainee",39497
"1 year or less","Bank Examiner",75697
"1 year or less","Bank Teller",45497
"1 year or less",Barrister,44697
"1 year or less","Behavioral Care Therapist",50997
"1 year or less","Biological Research Technician",56997
"1 year or less",Biologist,48857
"1 year or less","Business Analyst",341798
"1 year or less","Business Continuity Analyst",47000
"1 year or less","Business Development Coordinator ",65497
"1 year or less","Business Development Manager",56450
"1 year or less","Business development specialist",80497
"1 year or less","Business Intelligence Analyst",150227
"1 year or less","Business Intelligence developer",78497
"1 year or less","Business Support Assistant",33168
"1 year or less","Campaign Organizer",55497
"1 year or less","Capital Markets Specialist",43680
"1 year or less","Care Worker",122771
"1 year or less","Carpenter ",37497
"1 year or less","Case Investigator",111497
"1 year or less","Case Manager",65497
"1 year or less",Cashier,32217
"1 year or less","Cashier ",33497
"1 year or less",Cataloguer,33497
"1 year or less","CBT Therapist",52387
"1 year or less","Certification engineer",47000
"1 year or less","Certified Anesthesiologist Assistant ",165000
"1 year or less","Chase Leadership Development Analyst",78497
"1 year or less",Chef,63497
"1 year or less","Chemical Engineer",154597
"1 year or less","Chiropractic Assistant/Front Desk",22300
"1 year or less","Civil Engineer I",59000
"1 year or less","Classroom assistant and informal educator",32597
"1 year or less","Client Advocate ",48212
"1 year or less","Clinical Nurse I",70497
"1 year or less","Clubs Coordinator ",37900
"1 year or less","COBRA Integration Analyst",47260
"1 year or less","College and Career Counselor",55097
"1 year or less","Communications Associate",50600
"1 year or less","Communications Co-op Student",53497
"1 year or less","Community and Careers Coordinator",72997
"1 year or less","Community Organizer",63497
"1 year or less","Compliance Officer",71497
"1 year or less",Consultant,541491
"1 year or less","Consulting Analyst ",67000
